pl_name,A AÑOS LUZ DE LA TIERRA,Valor_masa_multiplicador,MAGNITUD ESTELAR,mj_mt,FECHA DE DESCUBRIMIENTO,Tipo_planeta
75 Ceti b,271,3,53.532,317.83,2012,Gigante gaseoso
7 Canis Majoris b,sesenta y cinco,1.85,3.95,317.83,2011,Gigante gaseoso
7 Canis Majoris c,sesenta y cinco,0.87,3.95,317.83,2019,Gigante gaseoso
81 Ceti b,330,5.3,564.307,317.83,2008,Gigante gaseoso
8 Ursae Minoris b,530,1.31,683.295,317.83,2015,Gigante gaseoso
91 Acuario b,144,3.2,423.946,317.83,2013,Gigante gaseoso
AB Pictoris b,163,13.5,9.13,317.83,2005,Gigante gaseoso
Alpha Arietis b,66,1.8,200.538,317.83,2010,Gigante gaseoso
Alpha Tauri b,67,6.47,0.872,317.83,2015,Gigante gaseoso
BD-00 4475 b,139,25.05,9.01,317.83,2021,Gigante gaseoso
BD + 03 2562 b,3492,6.4,9.577,317.83,2017,Gigante gaseoso
BD-06 1339 c,66,0.17,9.7,317.83,2013,Gigante gaseoso
BD-08 2823 c,135,0.33,9.86,317.83,2009,Gigante gaseoso
BD-10 3166 b,275,0.59,10.013,317.83,2000,Gigante gaseoso
BD-11 4672 b,89,0.65,10.03,317.83,2014,Gigante gaseoso
BD-13 2130 b,3018,9.78,10.038,317.83,2007,Gigante gaseoso
BD + 14 4559 b,161,1.04,9.78,317.83,2009,Gigante gaseoso
BD + 15 2375 b,2505,1.061,10.41,317.83,2016,Gigante gaseoso
BD + 15 2940 b,1391,1.11,9.01,317.83,2013,Gigante gaseoso
BD-17 63 b,112,5.1,9.62,317.83,2008,Gigante gaseoso
BD + 20 2457 b,5023,55.59,9.743,317.83,2009,Gigante gaseoso
BD + 20 2457 c,5023,12.47,9.743,317.83,2009,Gigante gaseoso
BD + 20 274 ??b,4314,4.2,9.367,317.83,2012,Gigante gaseoso
BD + 45 564 b,175,1.36,9.67,317.83,2021,Gigante gaseoso
BD + 48 738 b,2843,0.91,9.139,317.83,2011,Gigante gaseoso
BD + 48 740 b,2174,1.7,8.69,317.83,2018,Gigante gaseoso
BD + 49 828 b,1442,1.6,9.381,317.83,2015,Gigante gaseoso
BD + 55 362 b,171,0.72,9.38,317.83,2021,Gigante gaseoso
BD + 63 1405 b,124,3.96,8.96,317.83,2021,Gigante gaseoso
Beta Cancri b,290,7.8,351.012,317.83,2014,Gigante gaseoso
Beta Pictoris b,64,11,3.85,317.83,2008,Gigante gaseoso
Beta Pictoris c,64,9,3.85,317.83,2019,Gigante gaseoso
Beta Ursae Minoris b,126,6.1,20.569,317.83,2014,Gigante gaseoso
CFBDSIR J145829 + 101343 b,75,10.5,,317.83,2011,Gigante gaseoso
CFHTWIR-Oph 98 b,,7.8,,317.83,2021,Gigante gaseoso
CHXR 73 b,621,12.569,172.934,317.83,2006,Gigante gaseoso
CI Tauri b,515,11.6,13.642,317.83,2019,Gigante gaseoso
COCOS-2 b,36,6.3,11.298,317.83,2021,Gigante gaseoso
CoRoT-10 b,1104,2.75,15.293,317.83,2010,Gigante gaseoso
CoRoT-11 b,2137,2.33,12.897,317.83,2010,Gigante gaseoso
CoRoT-12 b,3674,0.917,15.588,317.83,2010,Gigante gaseoso
CoRoT-13 b,3748,1.308,15.005,317.83,2010,Gigante gaseoso
CoRoT-14 b,5691,7.6,15.932,317.83,2010,Gigante gaseoso
CoRoT-16 b,2389,0.535,16.052,317.83,2011,Gigante gaseoso
CoRoT-17 b,3837,2.43,16.29,317.83,2011,Gigante gaseoso
CoRoT-18 b,2495,3.47,14.868,317.83,2011,Gigante gaseoso
CoRoT-19 b,2579,1.11,14.135,317.83,2011,Gigante gaseoso
CoRoT-1 b,2570,1.03,13.623,317.83,2008,Gigante gaseoso
CoRoT-20 b,2753,4.3,14.63,317.83,2011,Gigante gaseoso
CoRoT-20 c,2753,17,14.63,317.83,2018,Gigante gaseoso
CoRoT-21 b,4563,2.26,16.058,317.83,2012,Gigante gaseoso
CoRoT-23 b,3461,2.8,15.675,317.83,2011,Gigante gaseoso
CoRoT-25 b,3600,0.27,14.79,317.83,2013,Gigante gaseoso
CoRoT-26 b,3409,0.52,15.861,317.83,2013,Gigante gaseoso
CoRoT-27 b,3296,10.39,15.774,317.83,2014,Gigante gaseoso
CoRoT-28 b,2499,0.484,13.783,317.83,2015,Gigante gaseoso
CoRoT-29 b,2631,0.85,15.408,317.83,2015,Gigante gaseoso
CoRoT-2 b,696,3.47,12.516,317.83,2008,Gigante gaseoso
CoRoT-30 b,3367,2.9,15.571,317.83,2020,Gigante gaseoso
CoRoT-31 b,6543,0.84,15.479,317.83,2020,Gigante gaseoso
CoRoT-3 b,2508,21.66,13.448,317.83,2008,Gigante gaseoso
CoRoT-4 b,2370,0.72,13.652,317.83,2008,Gigante gaseoso
CoRoT-5 b,2879,0.467,14.043,317.83,2009,Gigante gaseoso
CoRoT-6 b,2105,2.96,13.961,317.83,2009,Gigante gaseoso
CoRoT-8 b,1050,0.22,14.792,317.83,2010,Gigante gaseoso
CoRoT-9 b,1347,0.84,13.637,317.83,2009,Gigante gaseoso
CoRoTID 223977153 b,1881,0.15,13.626,317.83,2017,Gigante gaseoso
CT Chamaleontis b,622,17,12.335,317.83,2007,Gigante gaseoso
DE Canun Venaticorum b,100,120.293,12.956,317.83,2018,Gigante gaseoso
DENIS-P J082303.1-491201 b,68,28.5,185.577,317.83,2013,Gigante gaseoso
DH Tauri b,440,11,13.98,317.83,2004,Gigante gaseoso
DMPP-2 b,450,0.437,8.57,317.83,2019,Gigante gaseoso
DP Leonis b,997,6.28,186.837,317.83,2009,Gigante gaseoso
EPIC 246851721 b,1216,3,11.237,317.83,2018,Gigante gaseoso
EPIC 248847494 b,1800,13,12.353,317.83,2018,Gigante gaseoso
Épsilon Coronae Borealis b,228,6.7,412.577,317.83,2012,Gigante gaseoso
Épsilon Eridani b,10,0.78,371.548,317.83,2000,Gigante gaseoso
Épsilon Indi A b,12,3.25,4.69,317.83,2019,Gigante gaseoso
Épsilon Tauri b,155,7.6,3.523,317.83,2006,Gigante gaseoso
FU Tauri b,435,16,152.412,317.83,2008,Gigante gaseoso
Gamma 1 Leonis b,130,8.78,199.509,317.83,2009,Gigante gaseoso
Gamma Cephei b,46,9.4,323.006,317.83,2003,Gigante gaseoso
Gamma Librae b,155,1.02,390.672,317.83,2018,Gigante gaseoso
Gamma Librae c,155,4.58,390.672,317.83,2018,Gigante gaseoso
GJ 1148 b,36,0.30425,11.939,317.83,2010,Gigante gaseoso
GJ 1148 c,36,0.21414,11.939,317.83,2017,Gigante gaseoso
GJ 179 b,40,0.82,11.963,317.83,2009,Gigante gaseoso
GJ 3021 b,57,3.37,6.59,317.83,2000,Gigante gaseoso
GJ 317 b,50,2.5,12.4,317.83,2007,Gigante gaseoso
GJ 317 c,50,164.396,12.4,317.83,2018,Gigante gaseoso
GJ 328 b,67,2.3,9.99,317.83,2013,Gigante gaseoso
GJ 3512 b,31,0.463,15.18,317.83,2019,Gigante gaseoso
GJ 414 A c,39,0.16937,8.31,317.83,2021,Gigante gaseoso
GJ 504 b,57,4,518.799,317.83,2013,Gigante gaseoso
GJ 649 b,34,0.328,9.7,317.83,2009,Gigante gaseoso
GJ 676 A b,52,6.7,9.58,317.83,2010,Gigante gaseoso
GJ 676 A c,52,6.8,9.58,317.83,2016,Gigante gaseoso
GJ 832 b,dieciséis,0.68,8.66,317.83,2008,Gigante gaseoso
GJ 849 b,29,0.9,10.41,317.83,2006,Gigante gaseoso
GJ 849 c,29,0.702,10.41,317.83,2014,Gigante gaseoso
GJ 86 b,35,4.42,6.12,317.83,1999,Gigante gaseoso
GJ 876 b,15,22.756,10.16,317.83,1998,Gigante gaseoso
GJ 876 c,15,0.7142,10.16,317.83,2000,Gigante gaseoso
GJ 9066 c,15,0.22528,12.71,317.83,2020,Gigante gaseoso
GQ Lupi b,493,20,11.593,317.83,2004,Gigante gaseoso
GSC 06214-00210 b,354,16,12.416,317.83,2010,Gigante gaseoso
GU Piscium b,155,11.3,14.146,317.83,2014,Gigante gaseoso
HAT-P-11 c,123,2.3,9.46,317.83,2018,Gigante gaseoso
HAT-P-12 b,466,0.211,12.665,317.83,2009,Gigante gaseoso
HAT-P-13 b,805,0.851,10.421,317.83,2009,Gigante gaseoso
HAT-P-13 c,805,14.28,10.421,317.83,2009,Gigante gaseoso
HAT-P-14 b,726,3.44,9.988,317.83,2010,Gigante gaseoso
HAT-P-15 b,628,1.94,12.41,317.83,2010,Gigante gaseoso
HAT-P-16 b,739,4.193,10.911,317.83,2010,Gigante gaseoso
HAT-P-17 b,301,0.58,10.375,317.83,2010,Gigante gaseoso
SOMBRERO-P-17 c,301,3.4,10.375,317.83,2010,Gigante gaseoso
HAT-P-18 b,526,0.197,12.597,317.83,2010,Gigante gaseoso
HAT-P-19 b,659,0.292,12.826,317.83,2010,Gigante gaseoso
HAT-P-1 b,519,0.525,9.827,317.83,2006,Gigante gaseoso
HAT-P-20 b,232,7.246,11.231,317.83,2010,Gigante gaseoso
HAT-P-21 b,904,4.87,11.459,317.83,2010,Gigante gaseoso
HAT-P-22 b,267,2.47,9.763,317.83,2010,Gigante gaseoso
HAT-P-23 b,1190,1.34,11.937,317.83,2010,Gigante gaseoso
HAT-P-24 b,1355,0.75,11.762,317.83,2010,Gigante gaseoso
HAT-P-25 b,980,0.569,13.146,317.83,2010,Gigante gaseoso
HAT-P-27 b,650,0.62,12.052,317.83,2011,Gigante gaseoso
HAT-P-28 b,1309,0.626,13.098,317.83,2011,Gigante gaseoso
HAT-P-29 b,1023,0.88,11.825,317.83,2011,Gigante gaseoso
HAT-P-2 b,417,8.7,8.72,317.83,2007,Gigante gaseoso
HAT-P-30 b,698,0.83,10.352,317.83,2011,Gigante gaseoso
HAT-P-31 b,1122,2.27,11.667,317.83,2011,Gigante gaseoso
HAT-P-32 b,943,0.68,11.439,317.83,2011,Gigante gaseoso
HAT-P-33 b,1292,0.92,11.032,317.83,2011,Gigante gaseoso
HAT-P-34 b,813,3.33,10.403,317.83,2011,Gigante gaseoso
HAT-P-35 b,1654,1.056,12.389,317.83,2011,Gigante gaseoso
HAT-P-36 b,960,18.482,12.146,317.83,2011,Gigante gaseoso
HAT-P-37 b,1274,1.169,13.427,317.83,2011,Gigante gaseoso
HAT-P-38 b,832,0.267,12.525,317.83,2012,Gigante gaseoso
HAT-P-39 b,2274,0.599,12.282,317.83,2012,Gigante gaseoso
HAT-P-3 b,439,0.65,11.856,317.83,2007,Gigante gaseoso
HAT-P-40 b,1515,0.48,11.34,317.83,2012,Gigante gaseoso
HAT-P-41 b,1136,1.19,11.365,317.83,2012,Gigante gaseoso
HAT-P-42 b,1322,1.044,12.125,317.83,2012,Gigante gaseoso
HAT-P-43 b,1725,0.662,13.279,317.83,2012,Gigante gaseoso
HAT-P-44 b,1135,0.352,13.225,317.83,2014,Gigante gaseoso
HAT-P-44 c,1135,4,13.225,317.83,2014,Gigante gaseoso
HAT-P-45 b,974,0.892,12.783,317.83,2014,Gigante gaseoso
HAT-P-46 b,948,0.493,11.997,317.83,2014,Gigante gaseoso
HAT-P-49 b,1143,2.2,10.205,317.83,2014,Gigante gaseoso
HAT-P-4 b,1045,0.671,11.118,317.83,2007,Gigante gaseoso
HAT-P-50 b,1681,1.35,11.703,317.83,2015,Gigante gaseoso
HAT-P-51 b,1436,0.309,13.51,317.83,2015,Gigante gaseoso
HAT-P-52 b,1178,0.818,14.107,317.83,2015,Gigante gaseoso
HAT-P-53 b,2175,1.484,13.78,317.83,2015,Gigante gaseoso
HAT-P-54 b,469,0.76,13.398,317.83,2015,Gigante gaseoso
HAT-P-55 b,1668,0.582,13.197,317.83,2015,Gigante gaseoso
HAT-P-56 b,1046,2.31,10.92,317.83,2015,Gigante gaseoso
HAT-P-57 b,913,1.41,10.639,317.83,2015,Gigante gaseoso
HAT-P-58 b,1682,0.372,12.925,317.83,2021,Gigante gaseoso
HAT-P-59 b,866,1.54,11.64,317.83,2021,Gigante gaseoso
HAT-P-5 b,989,0.98,11.954,317.83,2007,Gigante gaseoso
HAT-P-60 b,761,0.574,9.727,317.83,2021,Gigante gaseoso
HAT-P-61 b,1105,1.057,13.096,317.83,2021,Gigante gaseoso
HAT-P-62 b,1138,0.761,12.539,317.83,2021,Gigante gaseoso
HAT-P-63 b,14624,0.614,201.544,317.83,2021,Gigante gaseoso
HAT-P-64 b,2126,0.58,12.855,317.83,2021,Gigante gaseoso
HAT-P-65 b,2409,0.527,13.121,317.83,2016,Gigante gaseoso
HAT-P-66 b,3051,0.783,13.014,317.83,2016,Gigante gaseoso
HAT-P-67 b,1212,0.34,10.106,317.83,2017,Gigante gaseoso
HAT-P-68 b,659,0.724,13.802,317.83,2020,Gigante gaseoso
HAT-P-69 b,1113,3.58,9.774,317.83,2019,Gigante gaseoso
HAT-P-6 b,898,1.32,10.469,317.83,2007,Gigante gaseoso
HAT-P-70 b,1079,6.78,9.47,317.83,2019,Gigante gaseoso
HAT-P-7 b,1113,1.84,10.481,317.83,2008,Gigante gaseoso
HAT-P-8 b,690,1.28,10.358,317.83,2008,Gigante gaseoso
HAT-P-9 b,1485,0.749,12.344,317.83,2008,Gigante gaseoso
HATS-10 b,1745,0.526,13.202,317.83,2015,Gigante gaseoso
HATS-11 b,3081,0.83,14.06,317.83,2016,Gigante gaseoso
HATS-12 b,2434,2.39,12.831,317.83,2016,Gigante gaseoso
HATS-13 b,1376,0.543,13.911,317.83,2015,Gigante gaseoso
HATS-14 b,1673,1.071,14.052,317.83,2015,Gigante gaseoso
HATS-15 b,3717,2.17,14.909,317.83,2016,Gigante gaseoso
HATS-16 b,2469,3.27,13.957,317.83,2016,Gigante gaseoso
HATS-17 b,1306,1.338,12.402,317.83,2016,Gigante gaseoso
HATS-18 b,2037,19.795,14.188,317.83,2016,Gigante gaseoso
HATS-1 b,926,1.855,12.155,317.83,2012,Gigante gaseoso
HATS-22 b,749,2.74,13.397,317.83,2017,Gigante gaseoso
HATS-23 b,2084,1.47,13.84,317.83,2017,Gigante gaseoso
HATS-24 b,1612,2.26,12.915,317.83,2017,Gigante gaseoso
HATS-25 b,1537,0.613,13.172,317.83,2016,Gigante gaseoso
HATS-26 b,2811,0.65,13.006,317.83,2016,Gigante gaseoso
HATS-27 b,2665,0.53,12.782,317.83,2016,Gigante gaseoso
HATS-28 b,1746,0.672,13.981,317.83,2016,Gigante gaseoso
HATS-29 b,1154,0.653,12.62,317.83,2016,Gigante gaseoso
HATS-2 b,1115,1.345,13.565,317.83,2013,Gigante gaseoso
HATS-30 b,1116,0.706,12.283,317.83,2016,Gigante gaseoso
HATS-31 b,2525,0.88,13.315,317.83,2016,Gigante gaseoso
HATS-32 b,2431,0.92,14.386,317.83,2016,Gigante gaseoso
HATS-33 b,810,1.192,11.91,317.83,2016,Gigante gaseoso
HATS-34 b,1660,0.941,13.857,317.83,2016,Gigante gaseoso
HATS-35 b,1678,1.222,12.609,317.83,2016,Gigante gaseoso
HATS-36 b,2794,3.216,14.364,317.83,2018,Gigante gaseoso
HATS-39 b,2866,0.63,12.745,317.83,2018,Gigante gaseoso
HATS-3 b,1341,1.071,12.433,317.83,2013,Gigante gaseoso
HATS-40 b,4379,1.59,13.478,317.83,2018,Gigante gaseoso
HATS-41 b,2406,9.7,12.678,317.83,2018,Gigante gaseoso
HATS-42 b,2611,1.88,13.682,317.83,2018,Gigante gaseoso
HATS-43 b,1182,0.261,13.562,317.83,2018,Gigante gaseoso
HATS-44 b,1455,0.56,14.397,317.83,2018,Gigante gaseoso
HATS-45 b,2519,0.7,13.325,317.83,2018,Gigante gaseoso
HATS-46 b,1480,0.173,13.783,317.83,2018,Gigante gaseoso
HATS-47 b,981,0.369,14.602,317.83,2020,Gigante gaseoso
HATS-48 A b,860,0.243,14.226,317.83,2020,Gigante gaseoso
HATS-49 b,1058,0.353,14.988,317.83,2020,Gigante gaseoso
HATS-4 b,1358,1.323,13.516,317.83,2014,Gigante gaseoso
HATS-50 b,2468,0.39,14.045,317.83,2017,Gigante gaseoso
HATS-51 b,1271,0.768,12.525,317.83,2017,Gigante gaseoso
HATS-52 b,1811,2.24,13.844,317.83,2017,Gigante gaseoso
HATS-53 b,1911,0.595,13.944,317.83,2017,Gigante gaseoso
HATS-54 b,2442,0.76,13.937,317.83,2019,Gigante gaseoso
HATS-55 b,1989,0.921,13.525,317.83,2019,Gigante gaseoso
HATS-56 b,1841,0.602,11.477,317.83,2019,Gigante gaseoso
HATS-57 b,912,3.147,12.333,317.83,2019,Gigante gaseoso
HATS-58 A b,1317,1.03,11.572,317.83,2019,Gigante gaseoso
HATS-59 b,2097,0.806,14.033,317.83,2018,Gigante gaseoso
HATS-59 c,2097,12.7,14.033,317.83,2018,Gigante gaseoso
HATS-5 b,804,0.237,12.598,317.83,2014,Gigante gaseoso
HATS-60 b,1587,0.662,12.662,317.83,2018,Gigante gaseoso
HATS-61 b,2217,3.4,13.352,317.83,2018,Gigante gaseoso
HATS-62 b,1706,0.179,14.171,317.83,2018,Gigante gaseoso
HATS-63 b,2033,0.96,13.992,317.83,2018,Gigante gaseoso
HATS-64 b,3523,0.96,13.045,317.83,2018,Gigante gaseoso
HATS-65 b,1609,0.821,12.679,317.83,2018,Gigante gaseoso
HATS-66 b,4821,5.33,14.283,317.83,2018,Gigante gaseoso
HATS-67 b,3132,1.45,13.698,317.83,2018,Gigante gaseoso
HATS-68 b,1970,1.29,12.312,317.83,2018,Gigante gaseoso
HATS-69 b,1352,0.577,14.074,317.83,2018,Gigante gaseoso
HATS-6 b,552,0.319,15.044,317.83,2015,Gigante gaseoso
HATS-70 b,4759,12.9,12.227,317.83,2019,Gigante gaseoso
HATS-71 b,457,0.37,16.437,317.83,2020,Gigante gaseoso
HATS-72 b,416,3.985,12.324,317.83,2020,Gigante gaseoso
HATS-7 b,785,381.396,13.347,317.83,2015,Gigante gaseoso
HATS-8 b,2592,0.138,14.512,317.83,2015,Gigante gaseoso
HATS-9 b,2083,0.837,13.256,317.83,2015,Gigante gaseoso
HD 100546 b,358,752,6.69,317.83,2014,Gigante gaseoso
HD 100655 b,447,1.61,64.421,317.83,2011,Gigante gaseoso
HD 100777 b,162,1.03,8.42,317.83,2007,Gigante gaseoso
HD 10180 h,127,0.203,7.33,317.83,2010,Gigante gaseoso
HD 101930 b,98,0.25,8.21,317.83,2005,Gigante gaseoso
HD 102117 b,129,0.17,7.47,317.83,2005,Gigante gaseoso
HD 102195 b,96,0.41,8.07,317.83,2006,Gigante gaseoso
HD 102272 b,1132,4.94,8.69,317.83,2008,Gigante gaseoso
HD 102329 b,708,8.16,7.88,317.83,2011,Gigante gaseoso
HD 102329 c,708,1.52,7.88,317.83,2018,Gigante gaseoso
HD 102843 b,205,0.35837,9.26,317.83,2019,Gigante gaseoso
HD 102956 b,398,0.96,7.86,317.83,2010,Gigante gaseoso
HD 103720 b,149,0.62,9.5,317.83,2014,Gigante gaseoso
HD 103774 b,184,0.367,713.463,317.83,2013,Gigante gaseoso
HD 104067 b,66,0.16,7.92,317.83,2009,Gigante gaseoso
HD 10442 b,442,1.487,7.828,317.83,2014,Gigante gaseoso
HD 104985 b,328,8.3,579.389,317.83,2003,Gigante gaseoso
HD 106252 b,125,6.93,7.41,317.83,2002,Gigante gaseoso
HD 106270 b,306,10.13,7.58,317.83,2011,Gigante gaseoso
HD 10647 b,57,0.94,5.52,317.83,2006,Gigante gaseoso
HD 106515 A b,111,9.61,7.971,317.83,2012,Gigante gaseoso
HD 106906 b,336,11,7.8,317.83,2013,Gigante gaseoso
HD 10697 b,108,6.383,628.262,317.83,1999,Gigante gaseoso
HD 107148 b,161,0.21,8.01,317.83,2005,Gigante gaseoso
HD 108147 b,127,0.261,6.99,317.83,2002,Gigante gaseoso
HD 108341 b,160,3.5,9.38,317.83,2014,Gigante gaseoso
HD 108863 b,537,2.414,7.71,317.83,2011,Gigante gaseoso
HD 108874 b,194,1.42,8.76,317.83,2002,Gigante gaseoso
HD 108874 c,194,0.99,8.76,317.83,2005,Gigante gaseoso
HD 109246 b,221,0.86,8.751,317.83,2010,Gigante gaseoso
HD 109286 b,181,2.99,8.78,317.83,2021,Gigante gaseoso
HD 109749 b,206,0.27,8.08,317.83,2005,Gigante gaseoso
HD 110014 b,329,11.09,464.597,317.83,2009,Gigante gaseoso
HD 111232 b,94,7.14,7.59,317.83,2003,Gigante gaseoso
HD 111591 b,372,4.4,6.417,317.83,2017,Gigante gaseoso
HD 111998 b,108,4.51,611.006,317.83,2016,Gigante gaseoso
HD 112640 b,1055,5,653.649,317.83,2020,Gigante gaseoso
HD 113337 b,118,2.83,602.078,317.83,2013,Gigante gaseoso
HD 113538 b,53,0.36,9.05,317.83,2010,Gigante gaseoso
HD 113538 c,53,0.93,9.05,317.83,2010,Gigante gaseoso
HD 113996 b,379,6.3,477.044,317.83,2017,Gigante gaseoso
HD 114386 b,91,1.14,8.73,317.83,2003,Gigante gaseoso
HD 114613 b,66,0.357,4.85,317.83,2014,Gigante gaseoso
HD 114729 b,123,0.825,6.68,317.83,2002,Gigante gaseoso
HD 114762 b,131,10.69,7.3,317.83,1989,Gigante gaseoso
HD 114783 b,69,1.1,7.56,317.83,2001,Gigante gaseoso
HD 114783 c,69,0.611,7.56,317.83,2018,Gigante gaseoso
HD 11506 b,167,4.83,7.51,317.83,2007,Gigante gaseoso
HD 11506 c,167,0.408,7.51,317.83,2008,Gigante gaseoso
HD 115954 b,286,8.29,8.34,317.83,2021,Gigante gaseoso
HD 116029 b,402,1.4,7.88,317.83,2011,Gigante gaseoso
HD 116029 c,402,1.27,7.88,317.83,2018,Gigante gaseoso
HD 117207 b,106,1.926,7.26,317.83,2004,Gigante gaseoso
HD 11755 b,767,5.63,688.269,317.83,2015,Gigante gaseoso
HD 117618 b,123,0.174,7.17,317.83,2004,Gigante gaseoso
HD 118203 b,301,2.79,8.05,317.83,2005,Gigante gaseoso
HD 11964 b,109,0.622,641.525,317.83,2005,Gigante gaseoso
HD 11977 b,222,6.54,4.68,317.83,2005,Gigante gaseoso
HD 120084 b,336,4.5,590.686,317.83,2013,Gigante gaseoso
HD 121504 b,136,1.51,7.54,317.83,2003,Gigante gaseoso
HD 124330 b,196,0.75,7.88,317.83,2021,Gigante gaseoso
HD 12484 b,158,2.98,8.18,317.83,2016,Gigante gaseoso
HD 125390 b,501,22.16,8.21,317.83,2019,Gigante gaseoso
HD 125612 b,188,3.1,8.31,317.83,2007,Gigante gaseoso
HD 125612 d,188,7.28,8.31,317.83,2009,Gigante gaseoso
HD 12648 b,594,1.96,698.656,317.83,2015,Gigante gaseoso
HD 126525 b,123,0.237,7.85,317.83,2018,Gigante gaseoso
HD 126614 b,238,0.41,8.81,317.83,2009,Gigante gaseoso
HD 12661 b,123,2.43,7.43,317.83,2000,Gigante gaseoso
HD 12661 c,123,1.812,7.43,317.83,2002,Gigante gaseoso
HD 128311 b,53,1.769,7.48,317.83,2002,Gigante gaseoso
HD 128311 c,53,3.789,7.48,317.83,2005,Gigante gaseoso
HD 128356 b,85,0.89,82.411,317.83,2016,Gigante gaseoso
HD 129445 b,220,1.6,8.8,317.83,2009,Gigante gaseoso
HD 130322 b,104,1.15,8.04,317.83,1999,Gigante gaseoso
HD 131496 b,430,1.8,7.8,317.83,2011,Gigante gaseoso
HD 131664 b,172,19.12,8.13,317.83,2008,Gigante gaseoso
HD 13167 b,486,3.31,8.34,317.83,2018,Gigante gaseoso
HD 1317.839 b,1624,10.95,7.57,317.83,2005,Gigante gaseoso
HD 132406 b,231,5.38,8.45,317.83,2007,Gigante gaseoso
HD 132563 b,343,1.49,8.928.001,317.83,2011,Gigante gaseoso
HD 133131 A b,168,1.42,7.66,317.83,2016,Gigante gaseoso
HD 133131 A c,168,0.42,7.66,317.83,2016,Gigante gaseoso
HD 133131 B b,167,2.5,8.413,317.83,2016,Gigante gaseoso
HD 134987 b,85,1.61,6.47,317.83,1999,Gigante gaseoso
HD 134987 c,85,0.82,6.47,317.83,2009,Gigante gaseoso
HD 136418 b,343,2.14,7.849,317.83,2009,Gigante gaseoso
HD 136925 b,156,0.84,791.433,317.83,2021,Gigante gaseoso
HD 137388 b,132,0.2,8.71,317.83,2011,Gigante gaseoso
HD 13908 b,259,0.865,7.52,317.83,2013,Gigante gaseoso
HD 13908 c,259,5.13,7.52,317.83,2013,Gigante gaseoso
HD 13931 b,155,2.2,7.61,317.83,2009,Gigante gaseoso
HD 139357 b,366,9.76,597.272,317.83,2008,Gigante gaseoso
HD 1397 b,260,0.415,7.79,317.83,2018,Gigante gaseoso
HD 14067 b,463,7.8,653.329,317.83,2014,Gigante gaseoso
HD 141399 b,121,0.451,720.856,317.83,2014,Gigante gaseoso
HD 141399 c,121,1.33,720.856,317.83,2014,Gigante gaseoso
HD 141399 d,121,1.18,720.856,317.83,2014,Gigante gaseoso
HD 141399 e,121,0.66,720.856,317.83,2014,Gigante gaseoso
HD 141937 b,109,9.69,7.25,317.83,2002,Gigante gaseoso
HD 142022 A b,112,4.44,7.7,317.83,2005,Gigante gaseoso
HD 142245 b,317,3.07,7.46,317.83,2011,Gigante gaseoso
